42,,41,,20,,40,,Dataset 4,,Dataset 5,,Dataset 6,,Dataset 7,,Dataset 8,,Dataset 9,,Dataset 10,,Dataset 11,,Dataset 12,,Dataset 13,,Dataset 14,,Dataset 15,,Dataset 16,,Dataset 17,,Dataset 18,,Dataset 19,,Dataset 20,,Dataset 21,,Dataset 22,,Dataset 23,,Dataset 24,,Dataset 25,,Dataset 26,,Dataset 27,,Dataset 28,,Dataset 29,,Dataset 30,,Dataset 31,,Dataset 32,,Dataset 33,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
10.5612711476909,1001.7472736331785,20.277777777777782,1040.5551617539923,26.13625971650664,1075.6540681362596,28.42249657064472,1069.6648760849903,30.422953818015554,1030.4474110423744,31.28029263831733,1070.6005093004828,35.56698673982625,1028.162769449199,40.9967992684042,1065.5672077467739,47.71262002743484,1081.2874916712185,49.71307727480567,1147.7503680545578,50.57041609510746,1106.220407655924,52.99954275262918,1041.1616141358882,53.999771376314584,1050.3957695583451,60.28692272519433,1175.9478716524538,73.86145404663922,1106.3235931864551,74.86168267032465,1108.6354555024086,76.14769090077732,1017.2668838571421,81.14883401920439,1106.8173644368505,88.15043438500228,1121.154455820124,89.1506630086877,1146.5406284910896,89.57933241883859,1121.16078622077,96.86671239140375,1134.576171269972,99.29583904892549,1119.8193743238626,112.29881115683587,1022.9648774786913,112.58459076360315,1311.3950229964719,126.58779149519891,1178.0875470708336,128.874028349337,1231.6300757354954,129.01691815272062,1116.7206432075998,130.30292638317331,1123.6486336746848,139.87654320987656,1127.3829370158155,146.73525377229083,1096.4937470632005,152.73662551440333,1272.3465796511066,165.02514860539554,1210.1003831381302,175.45610425240056,1127.5405639919034
10.5612711476909,1016.5148322603862,20.277777777777782,1054.8612341740998,26.13625971650664,1115.3418819468804,28.42249657064472,1084.8939209192981,30.56584362139918,1110.746644117881,30.994513031550074,1090.443150125664,35.56698673982625,1052.6215384255117,41.13968907178784,1096.0259304554543,47.85550983081848,1111.7462143798991,49.71307727480567,1178.208457723174,50.28463648834018,1136.2157450373104,52.85665294924554,1065.6197500721364,54.14266117969822,1065.625447432718,60.28692272519433,1224.8654096050795,74.00434385002286,1131.7059676170331,75.00457247370828,1128.4799954477837,76.29058070416096,1117.8715100450595,81.14883401920439,1121.5849230640583,88.15043438500228,1185.7625248141578,88.86488340192044,1180.689341736378,89.57933241883859,1150.6959034751856,96.86671239140375,1174.7254712876932,99.29583904892549,1134.1254467439703,112.15592135345223,1148.4884927698927,112.44170096021948,1390.3085313705487,126.58779149519891,1247.31047813587,129.01691815272062,1261.6273122370758,129.1598079561043,1275.4725314901477,130.44581618655693,1137.9553391348568,139.87654320987656,1226.6024715423678,146.87814357567444,1245.0929387895433,152.87951531778694,1322.1877230579973,165.02514860539554,1309.7814038717825,175.45610425240056,1276.1391226781814
10.5612711476909,967.5972943077605,20.277777777777782,1027.6335479551853,26.13625971650664,1056.2716474380495,28.42249657064472,1055.820289871983,30.422953818015554,1016.1413386222667,31.137402834933706,1040.6032727989025,35.56698673982625,1013.3952108219912,40.9967992684042,1036.0320904923583,47.71262002743484,1062.828043387209,49.998856881572934,1067.9145203063454,50.57041609510746,1091.4528490287162,52.99954275262918,1016.7028451595752,54.14266117969822,1000.0944060244833,60.28692272519433,1155.1809923329429,73.86145404663922,1091.5560345592473,75.00457247370828,1089.253667844263,76.14769090077732,967.8878596974162,81.29172382258803,1091.5889526426072,88.29332418838592,1051.470671588052,89.00777320530408,1110.5440712972058,89.57933241883859,1091.6256689663544,96.86671239140375,1094.8883574593513,99.4387288523091,919.9964796895224,112.29881115683587,998.9675947094786,112.58459076360315,1181.2559125942034,126.58779149519891,1157.782153958423,128.874028349337,1142.1017515580484,129.1598079561043,1096.8773693423539,130.44581618655693,1108.8817080875417,139.87654320987656,1102.4626818324025,146.73525377229083,1080.8032160217924,152.73662551440333,1222.5060692842803,165.02514860539554,1150.568662422199,175.5989940557842,1111.8506659905597
